Region ID,Region Name,RP ID,Start Date,Station Count,Retail Average
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/20/2018",317,2.911776
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/17/2013",317,3.332091
8724,"ZIP - 8724",3,"04/24/2018",7,3.009000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/30/2015",314,1.855752
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/20/2011",231,3.028437
8723,"ZIP - 8723",3,"01/01/2017",8,2.446500
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/27/2015",327,2.173985
8724,"ZIP - 8724",3,"11/26/2017",7,2.699000
8723,"ZIP - 8723",3,"11/06/2012",8,3.650250
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/11/2012",306,3.395863
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/24/2012",313,3.756732
8723,"ZIP - 8723",3,"04/22/2016",11,1.966273
8724,"ZIP - 8724",3,"12/18/2017",7,2.661857
8723,"ZIP - 8723",3,"10/30/2017",13,2.464385
8723,"ZIP - 8723",3,"02/16/2015",9,2.065667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"11/20/2014",300,2.729500
8723,"ZIP - 8723",3,"10/01/2020",11,2.313545
8724,"ZIP - 8724",3,"07/22/2017",7,2.437571
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/21/2010",252,2.693524
8723,"ZIP - 8723",3,"03/13/2013",11,3.513545
8723,"ZIP - 8723",3,"08/27/2016",10,1.996000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/16/2013",306,3.474621
8723,"ZIP - 8723",3,"07/11/2021",10,3.235000
8724,"ZIP - 8724",3,"06/22/2013",5,3.449000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/07/2012",310,3.612355
8723,"ZIP - 8723",3,"10/08/2015",11,1.953545
8724,"ZIP - 8724",3,"08/07/2018",6,3.079000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/18/2017",317,2.437549
8723,"ZIP - 8723",3,"04/16/2017",9,2.407889
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/12/2013",281,3.382238
8724,"ZIP - 8724",3,"11/29/2010",6,2.859000
8724,"ZIP - 8724",3,"07/18/2011",6,3.662333
8723,"ZIP - 8723",3,"11/15/2021",12,3.452333
8724,"ZIP - 8724",3,"06/04/2017",6,2.479000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"11/01/2011",305,3.280377
8724,"ZIP - 8724",3,"04/02/2018",7,2.819000
8723,"ZIP - 8723",3,"08/05/2016",11,1.842636
8724,"ZIP - 8724",3,"03/20/2010",6,2.627333
8723,"ZIP - 8723",3,"07/08/2019",12,2.815667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/25/2018",307,2.830107
8724,"ZIP - 8724",3,"07/25/2010",5,2.575000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/22/2013",307,3.478870
8724,"ZIP - 8724",3,"01/28/2017",7,2.450429
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/27/2011",296,3.559679
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/08/2021",319,3.171226
8723,"ZIP - 8723",3,"12/10/2016",11,2.308091
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/22/2012",311,3.324820
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/17/2018",306,2.881124
8724,"ZIP - 8724",3,"03/29/2019",6,2.869000
8724,"ZIP - 8724",3,"11/15/2019",5,2.767000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/12/2010",203,2.916685
8724,"ZIP - 8724",3,"06/07/2010",5,2.567000
8723,"ZIP - 8723",3,"07/18/2022",12,4.670667
8723,"ZIP - 8723",3,"06/29/2016",11,2.075364
8724,"ZIP - 8724",3,"11/22/2011",6,3.304000
8723,"ZIP - 8723",3,"04/05/2017",11,2.351727
8724,"ZIP - 8724",3,"04/05/2011",5,3.497000
8723,"ZIP - 8723",3,"05/19/2011",10,3.850000
8724,"ZIP - 8724",3,"01/31/2010",6,2.525667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/22/2018",292,2.873452
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/25/2017",315,2.405540
8723,"ZIP - 8723",3,"09/23/2011",10,3.363000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/08/2013",314,3.393331
8723,"ZIP - 8723",3,"06/07/2014",10,3.497000
8724,"ZIP - 8724",3,"12/08/2019",5,2.749000
8724,"ZIP - 8724",3,"07/26/2020",6,2.367333
8723,"ZIP - 8723",3,"01/21/2020",11,2.639000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/25/2011",284,3.367285
8724,"ZIP - 8724",3,"05/31/2018",7,3.207571
8724,"ZIP - 8724",3,"08/24/2017",7,2.459000
8723,"ZIP - 8723",3,"03/17/2010",6,2.632333
8724,"ZIP - 8724",3,"12/29/2017",6,2.635667
8724,"ZIP - 8724",3,"10/05/2018",6,3.072333
8723,"ZIP - 8723",3,"06/25/2017",12,2.265667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/10/2019",305,2.946836
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/03/2013",286,3.566517
8723,"ZIP - 8723",3,"10/12/2014",10,2.962000
8724,"ZIP - 8724",3,"09/20/2010",6,2.487333
8723,"ZIP - 8723",3,"05/27/2020",11,2.091727
8723,"ZIP - 8723",3,"04/08/2010",8,2.709000
8724,"ZIP - 8724",3,"01/09/2010",6,2.587333
8724,"ZIP - 8724",3,"08/28/2010",6,2.522333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/21/2019",311,2.462473
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/27/2012",299,3.565990
8724,"ZIP - 8724",3,"05/16/2010",5,2.751000
8723,"ZIP - 8723",3,"06/29/2010",6,2.614000
8724,"ZIP - 8724",3,"08/03/2019",6,2.945667
8724,"ZIP - 8724",3,"03/21/2020",6,2.409000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/11/2022",319,4.275834
8723,"ZIP - 8723",3,"02/18/2017",9,2.325667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/09/2014",310,3.484355
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/12/2019",312,2.738391
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/13/2012",303,3.787845
8723,"ZIP - 8723",3,"11/10/2015",12,2.016500
8724,"ZIP - 8724",3,"06/21/2020",5,2.219000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/07/2016",318,2.086579
8723,"ZIP - 8723",3,"01/03/2017",11,2.446273
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/18/2011",270,3.027926
8723,"ZIP - 8723",3,"03/29/2016",12,1.829000
8724,"ZIP - 8724",3,"07/20/2017",6,2.432333
8724,"ZIP - 8724",3,"04/26/2018",6,3.012333
8723,"ZIP - 8723",3,"07/13/2018",11,2.933545
8724,"ZIP - 8724",3,"11/24/2017",7,2.701857
8724,"ZIP - 8724",3,"08/31/2018",6,3.029000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/09/2012",268,3.410604
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/27/2013",266,3.368586
8724,"ZIP - 8724",3,"05/17/2016",7,2.157571
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/01/2018",284,2.687451
8723,"ZIP - 8723",3,"10/28/2020",11,2.297182
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/14/2010",255,2.692031
8723,"ZIP - 8723",3,"06/20/2018",11,2.859000
8723,"ZIP - 8723",3,"11/01/2017",12,2.480667
8724,"ZIP - 8724",3,"03/15/2017",7,2.387571
8724,"ZIP - 8724",3,"12/20/2017",7,2.644714
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"11/18/2014",312,2.739801
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/21/2020",311,2.626395
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/22/2012",293,3.792925
8724,"ZIP - 8724",3,"01/11/2016",6,1.820667
8723,"ZIP - 8723",3,"02/18/2015",11,2.087182
8723,"ZIP - 8723",3,"10/25/2018",12,2.804833
